Item,Type,Location,Classification,Confidence,Notes
ens_contacts,DB table,backend/src/db/schema.sql,DEFINITELY DEAD,HIGH,"Schema.sql explicitly annotates: DEPRECATED DO NOT USE. No controller reads or writes it. Superseded by emergency_contacts."
ens_groups,DB table,backend/src/db/schema.sql,DEFINITELY DEAD,HIGH,"Schema.sql explicitly annotates: DEPRECATED DO NOT USE. References dead ens_contacts. No controller queries."
ens_group_members,DB table,backend/src/db/schema.sql,DEFINITELY DEAD,HIGH,"FK references dead ens_groups and ens_contacts. No controller queries."
notification_templates,DB table,backend/src/db/schema.sql,DEFINITELY DEAD,HIGH,"No controller reads or writes. template_id FK was dropped from ens_configurations in migration 036. Orphaned table."
tenant_mappings,DB table,backend/src/db/schema.sql,DEFINITELY DEAD,HIGH,"Created in migration 001. Zero application-code references found in any controller or service."
ens_configuration_contacts.ens_contact_id,DB column,backend/src/db/schema.sql (ens_configuration_contacts),DEFINITELY DEAD,HIGH,"FK to dead ens_contacts table. No controller writes this column. The active path uses emergency_contact_id."
ens_configuration_groups.ens_group_id,DB column,backend/src/db/schema.sql (ens_configuration_groups),DEFINITELY DEAD,HIGH,"FK to dead ens_groups table. No controller writes this column. The active path uses responder_group_id."
media_files.duration_seconds,DB column,backend/src/db/schema.sql (media_files),DEFINITELY DEAD,HIGH,"Explicitly labeled in schema.sql: Legacy column from 001 (kept for backward compat use duration_sec instead). Canonical column is duration_sec."
Lua-scripts/legacy/blast_call.lua,Lua file,Lua-scripts/legacy/blast_call.lua,DEFINITELY DEAD,HIGH,"Superseded by Lua-scripts/ens_blast_trigger.lua. Not referenced in any generated dialplan. Identical flow to current script."
Lua-scripts/legacy/dial_911_conference.lua,Lua file,Lua-scripts/legacy/dial_911_conference.lua,DEFINITELY DEAD,HIGH,"Superseded by Lua-scripts/ers_conference_bridge.lua. Not referenced in any generated dialplan."
Lua-scripts/legacy/ENS_retry_playback.lua,Lua file,Lua-scripts/legacy/ENS_retry_playback.lua,DEFINITELY DEAD,HIGH,"Superseded by Lua-scripts/ens_playback_handler.lua. Not referenced in any generated dialplan."
ENS_PROBE global request middleware,JS code,backend/server.js lines 66-74,PROBABLY DEAD,HIGH,"Explicitly marked TEMPORARY: remove after ENS blast investigation. Logs every request to stdout. Production noise."
ENS_DEBUG middleware in internal ENS router,JS code,backend/src/routes/internal/ens.js lines 7-19,PROBABLY DEAD,HIGH,"Explicitly marked TEMPORARY: remove after ENS blast investigation. Logs every POST body including potentially sensitive data."
const D debug helper in ensInternalController,JS code,backend/src/controllers/internal/ensInternalController.js line 10,PROBABLY DEAD,HIGH,"Explicitly marked TEMPORARY DEBUG helper — remove after ENS blast investigation."
checkCredentials() function,JS function,backend/server.js,PROBABLY DEAD,MEDIUM,"Sprint 0 comment in server.js says validateEnvironment() replaces it long-term. Both run at startup causing duplicate checks. Safe to remove after confirming validateEnvironment() covers all cases."
